Soil_ID,OC,pH,Clay,CEC,T,Ratio,logKow,lnCe,ln_Qe
1,0.058139535,7.2,,2.9,298,0.025,3.36,8.792777379,6.671653127
1,0.058139535,7.2,,2.9,298,0.025,3.36,8.485619962,6.233626104
1,0.058139535,7.2,,2.9,298,0.025,3.36,8.394867353,6.261491684
1,0.058139535,7.2,,2.9,298,0.025,3.36,8.016812826,5.777652323
1,0.058139535,7.2,,2.9,298,0.025,3.36,7.226354454,5.96100534
1,0.058139535,7.2,,2.9,298,0.025,3.36,7.593877845,4.98223582
1,0.058139535,7.2,,2.9,298,0.025,3.36,7.221616663,5.254887809
1,0.058139535,7.2,,2.9,298,0.025,3.36,6.772737067,5.254887809
1,0.058139535,7.2,,2.9,298,0.025,3.36,4.888090941,5.478970866
1,0.058139535,7.2,,2.9,298,0.025,3.36,6.546641928,4.428433007
2,0.122093023,7,10,21.21,294,0.025,4.57,5.446051361,2.879934142
2,0.122093023,7,10,21.21,294,0.025,4.57,5.18006916,2.683450084
2,0.122093023,7,10,21.21,294,0.025,4.57,4.684445214,2.269493558
2,0.122093023,7,10,21.21,294,0.025,4.57,3.904780844,1.602614687
2,0.122093023,7,10,21.21,294,0.025,4.57,3.557682477,1.289039792
2,0.122093023,7,10,21.21,294,0.025,4.57,3.188692868,0.983837225
2,0.122093023,7,10,21.21,294,0.025,4.57,2.906020891,0.772651282
2,0.122093023,7,10,21.21,294,0.025,4.57,2.677879612,0.464991087
2,0.122093023,7,10,21.21,294,0.025,4.57,2.149503841,0.136888252
2,0.122093023,7,10,21.21,294,0.025,4.57,1.411645294,-0.450514777
3,0.168604651,8.14,8.9,,298,0.01,3.36,9.036867549,5.068056044
3,0.168604651,8.14,8.9,,298,0.01,3.36,8.915217351,5.059087623
3,0.168604651,8.14,8.9,,298,0.01,3.36,8.804880264,4.913905574
3,0.168604651,8.14,8.9,,298,0.01,3.36,8.664975062,4.803904645
3,0.168604651,8.14,8.9,,298,0.01,3.36,8.506010902,4.66704579
3,0.168604651,8.14,8.9,,298,0.01,3.36,8.321445912,4.508440099
3,0.168604651,8.14,8.9,,298,0.01,3.36,8.128260664,4.133746349
3,0.168604651,8.14,8.9,,298,0.01,3.36,7.801554973,4.013118238
3,0.168604651,8.14,8.9,,298,0.01,3.36,7.418600903,3.527612682
3,0.168604651,8.14,8.9,,298,0.01,3.36,6.725393721,2.834465501
